"Art (Niveau 1)","Slægt (Niveau 2)","Tribus (Niveau 3)","Underfamilie (Niveau 4)","Familie (Niveau 5)","Overfamilie (Niveau 6)","Orden (Niveau 7)",Referencetekst,Den_danske_roedliste,Dansk,Autor,Dansk_navn,Familie_dk,Synonymer
"Philonthus quisquiliarius",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gyllenhal, 1810)",,Rovbiller,
"Philonthus rectangulus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Sharp, 1874",,Rovbiller,
"Philonthus rubripennis",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Stephens, 1832",,Rovbiller,fulvipes
"Philonthus rufipes",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Stephens, 1832)",,Rovbiller,immundus
"Philonthus salinus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Kiesenwetter, 1844",,Rovbiller,
"Philonthus sanguinolentus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Philonthus spinipes",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Rovbillen Philonthus spinipes Sharp, 1874 fundet i Danmark (Coleoptera, Staphylinidae). Entomologiske Meddelelser 61: 77-80",,Ja,"Sharp, 1874",,Rovbiller,
"Philonthus splendens",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1793)",Glansrovbille,Rovbiller,
"Philonthus succicola",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Thomson, 1860",,Rovbiller,chalcleus
"Philonthus tenuicornis",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Mulsant & Rey, 1853",,Rovbiller,carbonarius
"Philonthus umbratilis",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Philonthus varians",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Paykull, 1789)",,Rovbiller,
