"Art (Niveau 1)","Slægt (Niveau 2)","Tribus (Niveau 3)","Underfamilie (Niveau 4)","Familie (Niveau 5)","Overfamilie (Niveau 6)","Orden (Niveau 7)",Referencetekst,Den_danske_roedliste,Dansk,Autor,Dansk_navn,Familie_dk,Synonymer
"Agabus nebulosus",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Forster, 1771)",,Vandkalve,
"Agabus paludosus",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1801)",,Vandkalve,
"Agabus striolatus",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gyllenhal, 1808)","Smal damvandkalv",Vandkalve,
"Agabus sturmii",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gyllenhal, 1808)",,Vandkalve,
"Agabus uliginosus",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1761)",,Vandkalve,
"Agabus undulatus",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Schrank, 1776)",,Vandkalve,
"Agabus unguicularis",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(C.G.Thomson, 1867)",,Vandkalve,
"Agapanthia villosoviridescens",Agapanthia,Agapanthiini,Lamiinae,Cerambycidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Degeer, 1775)",Tidselbuk,Træbukke,
"Agaricochara latissima",Agaricochara,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Stephens, 1832)",,Rovbiller,
"Agaricophagus cephalotes",Agaricophagus,Leiodini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Schmidt, 1841",,,
"Agathidium atrum",Agathidium,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Paykull, 1792)",,,
"Agathidium badium",Agathidium,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Erichson, 1845",,,
"Agathidium confusum",Agathidium,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Brisout de Barneville, 1863",,,
"Agathidium convexum",Agathidium,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Sharp, 1866",,,piceum
"Agathidium haemorrhoum",Agathidium,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Erichson, 1845",,,
"Agathidium laevigatum",Agathidium,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Erichson, 1845",,,
"Agathidium mandibulare",Agathidium,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Sturm, 1807",,,
"Agathidium marginatum",Agathidium,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Sturm, 1807",,,
"Agathidium nigrinum",Agathidium,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Sturm, 1807",,,
"Agathidium nigripenne",Agathidium,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1792)",,,
"Agathidium rotundatum",Agathidium,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gyllenhal, 1827)",,,
"Agathidium seminulum",Agathidium,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)",,,
"Agathidium varians",Agathidium,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Beck, 1817",,,
"Agelastica alni",Agelastica,Hylaspini,Galerucinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)",Ellebladbille,Bladbiller,
"Aglenus brunneus",Aglenus,,Agleninae,Salpingidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NA,Ja,"(Gyllenhal, 1813)",,Grenbiller,
"Agonum dolens",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU•,Ja,"(Sahlberg, 1827)","Lysbenet kvikløber",Løbebiller,triste
"Agonum duftschmidi",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Agonum duftschmidi Schmidt og A. hypocrita (Apfelbeck) - to nye danske løbebiller af Agonum viduum-gruppen (Coleoptera: Carabidae). Entomologiske Meddelelser 65: 107-109",NT,Ja,"Schmidt, 1994",,Løbebiller,moestum
"Agonum emarginatum",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Gyllenhal, 1827)","Almindelig kvikløber",Løbebiller,afrum
"Agonum ericeti",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Panzer, 1809)",Højmosekvikløber,Løbebiller,
"Agonum fuliginosum",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Panzer, 1809)","Kort kvikløber",Løbebiller,
"Agonum gracile",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Sturm, 1824","Liden kvikløber",Løbebiller,
"Agonum gracilipes",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NA,Ja,"(Duftschmid, 1812)",Bronzekvikløber,Løbebiller,elongatum
"Agonum hypocrita",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Agonum duftschmidi Schmidt og A. hypocrita (Apfelbeck) - to nye danske løbebiller af Agonum viduum-gruppen (Coleoptera: Carabidae). Entomologiske Meddelelser 65: 107-109",EN,Ja,"(Apfelbeck, 1904)",,Løbebiller,
"Agonum lugens",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU•,Ja,"(Duftschmid, 1812)","Matsort kvikløber",Løbebiller,
"Agonum marginatum",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Gulrandet kvikløber",Løbebiller,
"Agonum micans",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NT,Ja,"(Nicolai, 1822)","Sortgrøn kvikløber",Løbebiller,
"Agonum muelleri",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Herbst, 1784)","Fintstribet kvikløber",Løbebiller,parumpunctatum
"Agonum munsteri",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",CR,Ja,"(Hellén, 1935)",Hængesækkvikløber,Løbebiller,
"Agonum piceum",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Brungul kvikløber",Løbebiller,picipes
"Agonum sexpunctatum",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Sekspunktet kvikløber",Løbebiller,
"Agonum thoreyi",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Dejean, 1828","Langstrakt kvikløber",Løbebiller,pelidnum
"Agonum versutum",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Sturm, 1824","Mørkbenet kvikløber",Løbebiller,
"Agonum viduum",Agonum,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Panzer, 1797)",,Løbebiller,
"Agrilus angustulus",Agrilus,Agrilini,Agrilinae,Buprestidae,Buprestoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Illiger, 1803)","Smal egepragtbille",Pragtbiller,
"Agrilus betuleti",Agrilus,Agrilini,Agrilinae,Buprestidae,Buprestoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NT•,Ja,"(Ratzeburg, 1837)",,Pragtbiller,
"Agrilus biguttatus",Agrilus,Agrilini,Agrilinae,Buprestidae,Buprestoidea,Coleoptera,"Fund af biller i Danmark, 2008 og 2009 (Coleoptera). Entomologiske Meddelelser 78: 117-161",NA,Ja,"(Fabricius, 1777)","Toplettet lancetpragtbille",Pragtbiller,
"Agrilus convexicollis",Agrilus,Agrilini,Agrilinae,Buprestidae,Buprestoidea,Coleoptera,"Fund af biller i Danmark, 2000 (Coleoptera). Entomologiske Meddelelser 69: 81-107",DD,Ja,"Redtenbacher, 1849",,Pragtbiller,
"Agrilus cyanescens",Agrilus,Agrilini,Agrilinae,Buprestidae,Buprestoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Ratzeburg, 1837",Kaprifoliepragtbille,Pragtbiller,
"Agrilus laticornis",Agrilus,Agrilini,Agrilinae,Buprestidae,Buprestoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Illiger, 1803)","Bredhornet pragtbille",Pragtbiller,
"Agrilus sinuatus",Agrilus,Agrilini,Agrilinae,Buprestidae,Buprestoidea,Coleoptera,"Fund af biller i Danmark, 2006 og 2007 (Coleoptera). Entomologiske Meddelelser 76: 105-144",NA,Ja,"(Oliver, 1790)",Tjørnepragtbille,Pragtbiller,
"Agrilus sulcicollis",Agrilus,Agrilini,Agrilinae,Buprestidae,Buprestoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Lacordaire, 1835","Stor egepragtbille",Pragtbiller,
"Agrilus viridis",Agrilus,Agrilini,Agrilinae,Buprestidae,Buprestoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)",Pilepragtbille,Pragtbiller,
"Agriotes acuminatus",Agriotes,Agriotini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Stephens, 1830)",,Smeldere,
"Agriotes lineatus",Agriotes,Agriotini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1767)","Stribet kornsmælder",Smeldere,
"Agriotes obscurus",Agriotes,Agriotini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Mørk kornsmælder",Smeldere,
"Agriotes pilosellus",Agriotes,Agriotini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Schönherr, 1817)","Stor kornsmælder",Smeldere,elongatus
"Agriotes sputator",Agriotes,Agriotini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Lille kornsmælder",Smeldere,
"Agriotes ustulatus",Agriotes,Agriotini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Schaller, 1783)","Variabel kornsmælder",Smeldere,
"Agrypnus murinus",Agrypnus,Agrypnini,Agrypninae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Musegrå smælder",Smeldere,
"Agyrtes bicolor",Agyrtes,,Agyrtinae,Agrytidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Laporte de Castelnau, 1840",,,
"Ahasverus advena",Ahasverus,Silvanini,Silvaninae,Silvanidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Waltl, 1834)",,,
"Alaobia scapularis",Alaobia,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Sahlberg, 1831)",,Rovbiller,
"Aleochara bilineata",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Gyllenhal, 1810",Kålfluerøver,Rovbiller,
"Aleochara binotata",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Kraatz, 1856",,Rovbiller,verna
"Aleochara bipustulata",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1760)",Strandfluerøver,Rovbiller,
"Aleochara brevipennis",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Gravenhorst, 1806",,Rovbiller,
"Aleochara cuniculorum",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Kraatz, 1858",,Rovbiller,
"Aleochara curtula",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Goeze, 1777)",,Rovbiller,
"Aleochara funebris",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Wollaston, 1864",,Rovbiller,albovillosa
"Aleochara grisea",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Kraatz, 1856",,Rovbiller,
"Aleochara inconspicua",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Aubé, 1850",,Rovbiller,
"Aleochara intricata",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Mannerheim, 1830",,Rovbiller,
"Aleochara laevigata",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Gyllenhal, 1810",,Rovbiller,
"Aleochara lanuginosa",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Gravenhorst, 1802",,Rovbiller,
"Aleochara lygaea",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Kraatz, 1862",,Rovbiller,
"Aleochara moerens",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Gyllenhal, 1827",,Rovbiller,
"Aleochara moesta",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Gravenhorst, 1802",,Rovbiller,
"Aleochara obscurella",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Gravenhorst, 1806",,Rovbiller,algarum
"Aleochara puberula",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Fund af biller i Danmark, 2003 (Coleoptera). Entomologiske Meddelelser 72: 49-74",,Ja,"Klug, 1832",,Rovbiller,
"Aleochara punctatella",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Motschulsky, 1858",,Rovbiller,obscurella
"Aleochara ruficornis",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Gravenhorst, 1802",,Rovbiller,
"Aleochara sanguinea",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)",,Rovbiller,
"Aleochara spadicea",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Erichson, 1837)",,Rovbiller,
"Aleochara sparsa",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Heer, 1839",,Rovbiller,
"Aleochara tristis",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Gravenhorst, 1806",,Rovbiller,
"Aleochara verna",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Say, 1833",,Rovbiller,
"Aleochara villosa",Aleochara,Aleocharini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Mannerheim, 1830",,Rovbiller,
